site;tree_gradient;crop_gradient;builtup_gradient;noso_gradient;longitude
8;1,34;0,48;97,15;49,54986;8,667604
1;34,47706422;3,862385321;52,9266055;53,467754;9,831628
3;2,650943396;0,433962264;67,03773585;53,54668303;9,966042193
27;28,55769231;9,759615385;54,5;53,60090335;9,92640517
Di21.B;2,654205607;0,429906542;68,21495327;53,54678;9,966029
AI21.8;22,98095238;39,92380952;19,37142857;51,445989;13,519128
AI21.2;2,382352941;75,78431373;16,18627451;51,472129;12,395046
AI21.6;37,31428571;21,64761905;3,847619048;51,686631;12,800308
16;5,452631579;32,25263158;49,81052632;48,05757931;7,773234128
13;5,038834951;32,55339806;49,63106796;51,21364565;6,572633035
23;10,16037736;7,264150943;72,01886792;53,38965;8,144749
9;11,91752577;12,34020619;66,05154639;48,531274;9,091006
18;9,316831683;35,43564356;31,01980198;50,45671025;8,904547313
4;4,899082569;20,88073394;56,86238532;53,406016;8,135965
10;1,15625;0,8125;95,5625;49,45533801;10,99455305
31;8,115384615;71,26923077;5,759615385;51,5032598;12,61314367
15;1,452631579;5,642105263;89,95789474;48,987164;12,139343
2;10,89622642;38,17924528;13,25471698;53,495093;9,779574
11;11,43;12,77;63,94;49,194622;8,089358
7;21,44859813;44,31775701;17,36448598;53,982713;9,233597
28;8,466666667;21,99047619;62,08571429;51,3377895;9,456918465
32;1,57;8,99;85,2;48,64136007;9,142242294
19;13,61458333;11,75;56,85416667;47,57897433;9,61133829
24;1,663461538;34,73076923;52,51923077;48,88449562;8,320144324
17;32,89473684;8,715789474;37,53684211;47,69315659;9,189173007
