1.Taxonomic Level;2.Taxonomic Level;3.Taxonomic Level;4.Taxonomic.Level;5.Taxonomic Level;Capture location;Capture location LAT;Capture location LONG;Date of Sample Collection;Device;File Name;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;1l_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;1r_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;2l_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;2r_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;3l_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;3r_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;4l_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;4r_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;5l_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;5r_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;6l_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;6r_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;7l_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;7r_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;8l_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;8r_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;9l_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;9r_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;10l_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;10r_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;11r_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;12l_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;12r_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;13l_Culex_pipiens_Ba.tif;;;;;;;;
Culicidae;Culex;NA;pipiens s.l.;NA;Weinheim, Germany;49,549877;8,66768;23/07/2021;Olympus SZ81;13r_Culex_pipiens_Ba.tif;;;;;;;;
