"group","procrustes_variance"
"Ba",2.33295013904845
"Bu",2.89746383842868
"El",1.923207457302
"Fu",2.09244416682562
"Ha1",1.25281273881465
"Ha2",2.32917077779528
"Ha3",3.05632427995046
"Ha4",8.68894789092368
"In",1.7932940241127
"Ka",1.12503754594964
"Kr",2.25262941235482
"La",3.38589237032378
"Li",3.01152669495287
"Ra",2.18189002352491
"Re",3.26717561569408
"Ru",2.21312454617618
"Rv",1.51694316831963
"Tn",1.0975520808058
"Va ",1.97748035804106
"Va2",3.13331101940001
"Wa",5.46507516700392
"Wm",2.06861933170398
"Zl",3.93192199785324
