;Label;X;Y;site;category;gradient;S_N_gradient;tree_gradient;crop_gradient;builtup_gradient;Längengrad
;2r_Culex_pipiens_Ba.tif;114,08;141,927;Wm;urban;-95,81;49,54986;1,34;0,48;97,15;8,66768
;2r_Culex_pipiens_Ba.tif;174,323;150,677;Wm;urban;-95,81;49,54986;1,34;0,48;97,15;8,66768
;2r_Culex_pipiens_Ba.tif;227,552;141,042;Wm;urban;-95,81;49,54986;1,34;0,48;97,15;8,66768
;2r_Culex_pipiens_Ba.tif;231,823;134,323;Wm;urban;-95,81;49,54986;1,34;0,48;97,15;8,66768
;2r_Culex_pipiens_Ba.tif;232,448;129,531;Wm;urban;-95,81;49,54986;1,34;0,48;97,15;8,66768
;2r_Culex_pipiens_Ba.tif;231,198;124,479;Wm;urban;-95,81;49,54986;1,34;0,48;97,15;8,66768
;2r_Culex_pipiens_Ba.tif;225,469;119,896;Wm;urban;-95,81;49,54986;1,34;0,48;97,15;8,66768
;2r_Culex_pipiens_Ba.tif;216,441;115,816;Wm;urban;-95,81;49,54986;1,34;0,48;97,15;8,66768
;2r_Culex_pipiens_Ba.tif;199,149;111,094;Wm;urban;-95,81;49,54986;1,34;0,48;97,15;8,66768
;2r_Culex_pipiens_Ba.tif;179,01;106,58;Wm;urban;-95,81;49,54986;1,34;0,48;97,15;8,66768
;2r_Culex_pipiens_Ba.tif;128,524;127,205;Wm;urban;-95,81;49,54986;1,34;0,48;97,15;8,66768
;2r_Culex_pipiens_Ba.tif;153,177;126,406;Wm;urban;-95,81;49,54986;1,34;0,48;97,15;8,66768
;2r_Culex_pipiens_Ba.tif;154,219;131,302;Wm;urban;-95,81;49,54986;1,34;0,48;97,15;8,66768
;2r_Culex_pipiens_Ba.tif;158,958;131,25;Wm;urban;-95,81;49,54986;1,34;0,48;97,15;8,66768
;2r_Culex_pipiens_Ba.tif;159,531;134,531;Wm;urban;-95,81;49,54986;1,34;0,48;97,15;8,66768
;2r_Culex_pipiens_Ba.tif;157,656;137,865;Wm;urban;-95,81;49,54986;1,34;0,48;97,15;8,66768
;2r_Culex_pipiens_Ba.tif;171,858;139,913;Wm;urban;-95,81;49,54986;1,34;0,48;97,15;8,66768
